SAMPLE,Wl,Wp,pF2.5,pF4.2,N40,N200,USCS,F,IP,GRAVEL,SAND,SILT,AASHTO,IG,ACTAR,N4,ZWl,ZWp,ZpF2.5,ZpF4.2,ZF,ZIP
J1,44.05,20.49,27.66,18.32,89.27,82.26,CL,92.15,23.56,5.76,11.99,82.26,A-7-A-7-A,20,0.3,96.1,0.46189,-0.51947,1.20798,1.51222,0.31931,0.71436
J2,34.84,18.89,23.34,10.33,77.50,70.56,CL,91.05,15.95,15.56,13.88,90.56,A-6,9,0.2,88.1,-0.60964,-1.02747,-0.61750,-0.94751,0.24234,-0.25535
G1,41.19,25.77,26.47,16.54,99.16,95.56,ML,96.37,15.42,0.02,4.89,95.09,A-7-A-7,1,0.2,100.0,0.12914,1.15696,0.70513,0.96424,0.61458,-0.32288
G2,36.83,18.45,23.76,12.47,95.21,85.63,CL,89.94,18.38,2.21,12.16,85.63,A-6,15,0.2,99.7,-0.37812,-1.16718,-0.44002,-0.28871,0.16467,0.05429
G3,36.61,18.68,26.43,12.79,84.47,76.99,CL,91.14,17.93,10.07,12.94,76.99,A-6,13,0.2,95.7,-0.40371,-1.09415,0.68823,-0.19020,0.24864,-0.00305
G4,42.85,20.93,26.12,15.18,98.35,92.21,CL,93.76,21.92,0.58,7.21,92.21,A-7-A-7,21,0.2,99.8,0.32227,-0.37976,0.55723,0.54557,0.43196,0.50538
VM,28.44,27.01,23.59,10.93,58.32,24.49,SM,41.99,1.43,8.31,67.20,24.49,A-2-4,0,0.1,98.8,-1.35424,1.55067,-0.51185,-0.76280,-3.19041,-2.10556
L1,30.15,23.95,17.98,7.55,84.96,71.57,ML,84.24,6.20,1.95,26.17,71.57,A-4,4,0.1,100.0,-1.15530,0.57910,-2.88244,-1.80334,-0.23416,-1.49774
C1,52.44,26.16,25.62,15.17,85.03,74.91,CH,88.10,26.28,3.41,21.67,74.91,A-7-A-7-A,20,0.4,99.7,1.43801,1.28079,0.34595,0.54249,0.03593,1.06095
C2,37.86,23.26,23.72,12.00,46.32,29.23,SC,63.10,14.60,18.47,52.29,29.23,A-2-6,0,0.5,98.3,-0.25828,0.36002,-0.45692,-0.43340,-1.71333,-0.42737
C3,38.79,25.00,25.74,15.54,52.98,43.81,SM,82.69,13.79,6.32,49.87,43.81,A-6,3,0.3,99.8,-0.15008,0.91248,0.39666,0.65639,-0.34261,-0.53059
C4,41.59,17.31,24.18,14.30,70.94,69.53,CL,98.01,24.28,8.80,21.67,69.53,A-7-A-7-A,11,0.2,99.2,0.17568,-1.52913,-0.26254,0.27466,0.72933,0.80610
C5,40.33,24.54,23.94,14.34,66.07,63.13,CL,95.55,15.79,17.05,20.82,62.13,A-7-A-7-A,8,0.3,94.8,0.02909,0.76643,-0.36396,0.28697,0.55721,-0.27574
C6,43.54,22.83,23.55,15.35,83.90,75.09,CL,89.50,20.71,1.69,23.22,75.09,A-7-A-7-A,15,0.3,99.8,0.40255,0.22350,-0.52876,0.59790,0.13389,0.35119
C7,50.59,25.86,25.96,16.39,72.63,63.55,CH,87.50,24.73,16.90,19.55,63.35,A-7-A-7-A,14,0.4,87.2,1.22277,1.18554,0.48962,0.91807,-0.00605,0.86344
J3,47.38,24.44,24.74,14.34,91.17,87.75,CL,96.25,22.94,0.03,16.60,83.37,A-7-A-7-A,20,0.3,100.0,0.84931,0.73468,-0.02591,0.28697,0.60619,0.63535
J4,46.61,23.72,27.03,15.46,93.53,90.71,CL,96.98,22.89,2.71,6.59,90.71,A-7-A-7-A,26,0.3,97.3,0.75973,0.50608,0.94177,0.63176,0.65727,0.62898
J5,61.85,25.71,28.99,18.03,99.30,98.61,CH,99.31,36.14,0.02,1.37,98.61,A-7-A-7-A,42,0.4,79.2,2.53281,1.13791,1.77000,1.42294,0.82030,2.31736
B1,29.17,19.17,22.48,10.29,53.12,45.42,SC,85.50,10.00,33.57,21.00,45.42,A-6,2,0.2,79.2,-1.26931,-0.93857,-0.98090,-0.95983,-0.14599,-1.01353
B2,32.67,18.26,23.36,10.36,98.36,95.85,CL,97.45,14.41,0.05,4.11,85.85,A-6,14,0.2,100.0,-0.86211,-1.22750,-0.60904,-0.93828,0.69015,-0.45158
B3,26.07,20.61,22.78,6.40,92.20,54.12,CL-ML,58.70,5.46,17.00,28.88,54.12,A-4,0,0.1,92.2,-1.62998,-0.48137,-0.85413,-2.15737,-2.02120,-1.59204
B4,32.29,18.10,24.25,9.60,99.58,97.20,CL,97.61,14.19,0.00,2.10,97.90,A-6,14,0.1,100.0,-0.90632,-1.27830,-0.23296,-1.17224,0.70135,-0.47962
B5,45.70,19.76,28.74,16.70,98.71,96.34,CL,97.60,25.94,0.02,3.64,96.34,A-7-A-7-A,27,0.3,100.0,0.65385,-0.75124,1.66436,1.01350,0.70065,1.01763
